"(PDH-CSV 4.0) (Eastern Daylight Time)(240)","\\7702-48817743\Process(_Total)\Virtual Bytes","\\7702-48817743\Process(AnyDesk)\Virtual Bytes","\\7702-48817743\Process(AnyDesk#1)\Virtual Bytes","\\7702-48817743\Process(AnyDesk#2)\Virtual Bytes","\\7702-48817743\Process(_Total)\Private Bytes","\\7702-48817743\Process(AnyDesk)\Private Bytes","\\7702-48817743\Process(AnyDesk#1)\Private Bytes","\\7702-48817743\Process(AnyDesk#2)\Private Bytes"
"09/16/2021 07:51:58.569","238132991823872","111489024","117972992","246353920","1318178816","20328448","19419136","53964800"
"09/16/2021 07:52:00.564","238132993413120","111489024","117972992","246353920","1319235584","20328448","19419136","53964800"
"09/16/2021 07:52:02.567","238132995403776","111489024","117972992","246353920","1318850560","20328448","19419136","53964800"
"09/16/2021 07:52:04.572","238132998041600","111489024","117972992","246353920","1319317504","20328448","19419136","53964800"
"09/16/2021 07:52:06.561","238132997529600","111489024","117972992","246353920","1319317504","20328448","19419136","53964800"
"09/16/2021 07:52:08.565","238132998053888","111489024","117972992","246353920","1319600128","20328448","19419136","53964800"
"09/16/2021 07:52:10.569","238132998053888","111489024","117972992","246353920","1318879232","20328448","19419136","53964800"
"09/16/2021 07:52:12.573","238132998053888","111489024","117972992","246353920","1318875136","20328448","19419136","53964800"
"09/16/2021 07:52:14.563","238132997529600","111489024","117972992","246353920","1318866944","20328448","19419136","53964800"
"09/16/2021 07:52:16.568","238133001646080","111489024","117972992","247664640","1319264256","20328448","19419136","54034432"
"09/16/2021 07:52:18.572","238133003022336","111489024","117972992","247664640","1319325696","20328448","19419136","54034432"
"09/16/2021 07:52:20.562","238133003022336","111489024","117972992","247664640","1319198720","20328448","19419136","54034432"
"09/16/2021 07:52:22.565","238133002629120","111489024","117972992","247664640","1319354368","20328448","19419136","54034432"
"09/16/2021 07:52:24.571","238133002952704","111489024","117972992","247664640","1319944192","20361216","19419136","54034432"
"09/16/2021 07:52:26.561","238133002338304","111489024","117972992","247664640","1319800832","20361216","19419136","54034432"
"09/16/2021 07:52:28.566","238133003894784","111489024","117972992","247664640","1319899136","20361216","19419136","54009856"
"09/16/2021 07:52:30.571","238133004976128","111489024","117972992","247664640","1320599552","20361216","19419136","54009856"
"09/16/2021 07:52:32.561","238133021331456","111489024","117972992","256053248","1324675072","20361216","19419136","56832000"
"09/16/2021 07:52:34.566","238133019914240","111489024","117972992","256053248","1324199936","20361216","19419136","56832000"
"09/16/2021 07:52:36.570","238133030346752","111489024","117972992","256053248","1328738304","20361216","19419136","56832000"
"09/16/2021 07:52:38.573","242539881291776","111489024","117972992","256053248","1330905088","20361216","19419136","56832000"
"09/16/2021 07:52:40.564","242539883126784","111489024","117972992","256053248","1333985280","20361216","19419136","56832000"
"09/16/2021 07:52:42.569","242539880542208","111489024","117972992","256053248","1331527680","20361216","19419136","56832000"
"09/16/2021 07:52:44.574","240336489869312","111489024","117972992","256053248","1329528832","20361216","19419136","56832000"
"09/16/2021 07:52:46.564","238133039882240","111489024","117972992","256053248","1327435776","20361216","19419136","56832000"
"09/16/2021 07:52:48.568","242539880316928","111489024","117972992","256053248","1334534144","20361216","19419136","56832000"
"09/16/2021 07:52:50.573","242539875979264","111489024","117972992","256053248","1331544064","20361216","19419136","56832000"
"09/16/2021 07:52:52.564","242539871539200","111489024","117972992","256053248","1330810880","20361216","19419136","56832000"
"09/16/2021 07:52:54.568","238133031501824","111489024","117972992","256053248","1327017984","20361216","19419136","56832000"
"09/16/2021 07:52:56.572","238133028356096","111489024","117972992","256053248","1326768128","20361216","19419136","56832000"
"09/16/2021 07:52:58.562","238133035696128","111489024","117972992","256053248","1327177728","20361216","19419136","56832000"
"09/16/2021 07:53:00.566","238133035712512","111489024","117972992","256053248","1327742976","20361216","19419136","56832000"
"09/16/2021 07:53:02.571","238133038841856","111489024","117972992","256053248","1327398912","20361216","19419136","56832000"
"09/16/2021 07:53:04.561","238133037735936","111489024","117972992","256053248","1327206400","20361216","19419136","56832000"
"09/16/2021 07:53:06.566","238133038260224","111489024","117972992","256053248","1327296512","20361216","19419136","56832000"
"09/16/2021 07:53:08.570","238133036580864","111489024","117972992","256053248","1327067136","20361216","19419136","56832000"
"09/16/2021 07:53:10.574","238133036580864","111489024","117972992","256053248","1327067136","20361216","19419136","56832000"
"09/16/2021 07:53:12.564","238133036056576","111489024","117972992","256053248","1326989312","20361216","19419136","56832000"
"09/16/2021 07:53:14.569","238133035008000","111489024","117972992","256053248","1326936064","20361216","19419136","56832000"
"09/16/2021 07:53:16.573","238133034221568","111489024","117972992","256053248","1326817280","20361216","19419136","56832000"
"09/16/2021 07:53:18.562","238133035794432","111489024","117972992","256053248","1327108096","20361216","19419136","56832000"
"09/16/2021 07:53:20.566","238133033172992","111489024","117972992","256053248","1326739456","20361216","19419136","56832000"
"09/16/2021 07:53:22.571","238133033697280","111489024","117972992","256053248","1326825472","20361216","19419136","56832000"
"09/16/2021 07:53:24.561","238133033697280","111489024","117972992","256053248","1326825472","20361216","19419136","56832000"
"09/16/2021 07:53:26.565","238133032386560","111489024","117972992","254742528","1326772224","20361216","19419136","56762368"
"09/16/2021 07:53:28.568","238133032386560","111489024","117972992","254742528","1326772224","20361216","19419136","56762368"
"09/16/2021 07:53:30.572","238133030813696","111489024","117972992","254742528","1326690304","20361216","19419136","56762368"
"09/16/2021 07:53:32.562","238133030813696","111489024","117972992","254742528","1326690304","20361216","19419136","56762368"
"09/16/2021 07:53:34.566","238133031862272","111489024","117972992","254742528","1326731264","20361216","19419136","56762368"
"09/16/2021 07:53:36.569","238133031862272","111489024","117972992","254742528","1326731264","20361216","19419136","56762368"
"09/16/2021 07:53:38.575","238133031337984","111489024","117972992","254742528","1326686208","20361216","19419136","56762368"
"09/16/2021 07:53:40.565","238133031120896","111489024","117972992","254742528","1326665728","20361216","19419136","56762368"
"09/16/2021 07:53:42.570","238133030596608","111489024","117972992","254742528","1326583808","20361216","19419136","56762368"
"09/16/2021 07:53:44.561","238133030596608","111489024","117972992","254742528","1326583808","20361216","19419136","56762368"
"09/16/2021 07:53:46.566","238133031120896","111489024","117972992","254742528","1326702592","20361216","19419136","56762368"
"09/16/2021 07:53:48.571","238133023019008","111489024","117972992","254742528","1326161920","20361216","19419136","56762368"
"09/16/2021 07:53:50.561","242540018003968","111489024","117972992","254742528","1339084800","20361216","19419136","56762368"
"09/16/2021 07:53:52.566","246946778624000","111489024","117972992","254742528","1348628480","20406272","19419136","56799232"
"09/16/2021 07:53:54.571","246946778284032","111489024","117972992","254742528","1347874816","20406272","19419136","56799232"
"09/16/2021 07:53:56.561","246946774093824","111489024","117972992","254742528","1344581632","20406272","19419136","56799232"
"09/16/2021 07:53:58.566","246946765705216","111489024","117972992","254742528","1341845504","20406272","19419136","56799232"
"09/16/2021 07:54:00.571","246946764148736","111489024","117972992","254742528","1342656512","20406272","19419136","56799232"
"09/16/2021 07:54:02.561","246946763563008","111489024","117972992","254742528","1345118208","20406272","19419136","56799232"
"09/16/2021 07:54:04.565","246946763546624","111489024","117972992","254742528","1345101824","20406272","19419136","56799232"
"09/16/2021 07:54:06.570","246946761940992","111489024","117972992","254742528","1342062592","20406272","19419136","56799232"
"09/16/2021 07:54:08.574","244743262035968","111489024","117972992","254742528","1338986496","20406272","19419136","56729600"
"09/16/2021 07:54:10.564","244743262224384","111489024","117972992","254742528","1338683392","20406272","19419136","56729600"
"09/16/2021 07:54:12.568","244743261175808","111489024","117972992","254742528","1338630144","20406272","19419136","56729600"
"09/16/2021 07:54:14.573","244743260127232","111489024","117972992","254742528","1338548224","20406272","19419136","56729600"
"09/16/2021 07:54:16.563","244743260127232","111489024","117972992","254742528","1338658816","20406272","19419136","56729600"
"09/16/2021 07:54:18.568","244743265996800","111489024","117972992","254742528","1338953728","20406272","19419136","56729600"
"09/16/2021 07:54:20.571","244743262326784","111489024","117972992","254742528","1338601472","20406272","19419136","56729600"
"09/16/2021 07:54:22.575","244743258771456","111489024","117972992","254742528","1338290176","20406272","19419136","56729600"
"09/16/2021 07:54:24.565","244743258656768","111489024","117972992","254742528","1338175488","20406272","19419136","56729600"
"09/16/2021 07:54:26.570","244743258656768","111489024","117972992","254742528","1338175488","20406272","19419136","56729600"
"09/16/2021 07:54:28.574","244743258656768","111489024","117972992","254742528","1338175488","20406272","19419136","56729600"
"09/16/2021 07:54:30.565","244743256559616","111489024","117972992","254742528","1338073088","20406272","19419136","56729600"
"09/16/2021 07:54:32.570","244743254200320","111489024","117972992","253431808","1337946112","20406272","19419136","56659968"
"09/16/2021 07:54:34.573","244743252103168","111489024","117972992","253431808","1337749504","20406272","19419136","56659968"
"09/16/2021 07:54:36.565","244743252103168","111489024","117972992","253431808","1337749504","20406272","19419136","56659968"
"09/16/2021 07:54:38.569","244743250530304","111489024","117972992","253431808","1337704448","20406272","19419136","56659968"
"09/16/2021 07:54:40.574","244743251316736","111489024","117972992","254742528","1337692160","20406272","19419136","56729600"
"09/16/2021 07:54:42.562","244743251316736","111489024","117972992","254742528","1337692160","20406272","19419136","56729600"
"09/16/2021 07:54:44.567","244743251316736","111489024","117972992","254742528","1337692160","20406272","19419136","56729600"
"09/16/2021 07:54:46.572","244743258918912","111489024","117972992","254742528","1338232832","20406272","19419136","56729600"
"09/16/2021 07:54:48.562","244743253151744","111489024","117972992","254742528","1337577472","20406272","19419136","56729600"
"09/16/2021 07:54:50.567","244743251054592","111489024","117972992","254742528","1337290752","20406272","19419136","56729600"
"09/16/2021 07:54:52.570","244743244509184","111489024","117972992","254742528","1337286656","20406272","19419136","56729600"
"09/16/2021 07:54:54.574","244743244247040","111489024","117972992","254742528","1335996416","20406272","19419136","56729600"
"09/16/2021 07:54:56.565","244743242674176","111489024","117972992","254742528","1335730176","20406272","19419136","56729600"
"09/16/2021 07:54:58.570","244743241625600","111489024","117972992","254742528","1335644160","20406272","19419136","56729600"
"09/16/2021 07:55:00.573","244743243739136","111489024","117972992","254742528","1336291328","20406272","19419136","56729600"
"09/16/2021 07:55:02.563","244743245295616","111489024","117972992","254742528","1335894016","20406272","19419136","56729600"
"09/16/2021 07:55:04.566","244743241625600","111489024","117972992","254742528","1335676928","20406272","19419136","56729600"
"09/16/2021 07:55:06.572","244743223275520","111489024","117972992","254742528","1334353920","20406272","19419136","56729600"
"09/16/2021 07:55:08.563","244743223275520","111489024","117972992","254742528","1334353920","20406272","19419136","56729600"
"09/16/2021 07:55:10.567","240336409882624","111489024","117972992","254742528","1331978240","20406272","19419136","56729600"
"09/16/2021 07:55:12.572","240336407785472","111489024","117972992","254742528","1331666944","20406272","19419136","56729600"
"09/16/2021 07:55:14.563","240336408834048","111489024","117972992","254742528","1331720192","20406272","19419136","56729600"
"09/16/2021 07:55:16.567","240336411455488","111489024","117972992","254742528","1331798016","20406272","19419136","56729600"
"09/16/2021 07:55:18.573","240336406364160","111489024","117972992","254742528","1331855360","20406272","19419136","56729600"
"09/16/2021 07:55:20.563","240336405839872","111489024","117972992","254742528","1331802112","20406272","19419136","56729600"
"09/16/2021 07:55:22.568","240336405839872","111489024","117972992","254742528","1331802112","20406272","19419136","56729600"
"09/16/2021 07:55:24.573","240336404791296","111489024","117972992","254742528","1330012160","20406272","19419136","56729600"
"09/16/2021 07:55:26.564","240336405315584","111489024","117972992","254742528","1330065408","20406272","19419136","56729600"
"09/16/2021 07:55:28.569","240336406364160","111489024","117972992","254742528","1330270208","20406272","19419136","56729600"
"09/16/2021 07:55:30.575","240336406364160","111489024","117972992","254742528","1330270208","20406272","19419136","56729600"
"09/16/2021 07:55:32.565","240336406364160","111489024","117972992","254742528","1330270208","20406272","19419136","56729600"
"09/16/2021 07:55:34.570","240336406364160","111489024","117972992","254742528","1330270208","20406272","19419136","56729600"
"09/16/2021 07:55:36.575","240336406364160","111489024","117972992","254742528","1330270208","20406272","19419136","56729600"
"09/16/2021 07:55:38.564","240336406364160","111489024","117972992","254742528","1330270208","20406272","19419136","56729600"
"09/16/2021 07:55:40.569","240336406364160","111489024","117972992","254742528","1330270208","20406272","19419136","56729600"
"09/16/2021 07:55:42.574","240336405315584","111489024","117972992","254742528","1330196480","20406272","19419136","56729600"
"09/16/2021 07:55:44.564","240336405315584","111489024","117972992","254742528","1330196480","20406272","19419136","56729600"
"09/16/2021 07:55:46.569","240336404267008","111489024","117972992","254742528","1330089984","20406272","19419136","56729600"
"09/16/2021 07:55:48.572","240336400072704","111489024","117972992","254742528","1329639424","20406272","19419136","56729600"
"09/16/2021 07:55:50.561","240336400072704","111489024","117972992","254742528","1329639424","20406272","19419136","56729600"
"09/16/2021 07:55:52.566","240336400072704","111489024","117972992","254742528","1329639424","20406272","19419136","56729600"
"09/16/2021 07:55:54.569","240336400072704","111489024","117972992","254742528","1329639424","20406272","19419136","56729600"
"09/16/2021 07:55:56.575","240336399024128","111489024","117972992","254742528","1329500160","20406272","19419136","56729600"
"09/16/2021 07:55:58.564","240336399024128","111489024","117972992","254742528","1329500160","20406272","19419136","56729600"
"09/16/2021 07:56:00.568","240336399040512","111489024","117972992","254742528","1330077696","20406272","19419136","56729600"
"09/16/2021 07:56:02.573","240336399024128","111489024","117972992","254742528","1329557504","20406272","19419136","56729600"
"09/16/2021 07:56:04.562","240336396926976","111489024","117972992","254742528","1329446912","20406272","19419136","56729600"
"09/16/2021 07:56:06.567","240336396926976","111489024","117972992","254742528","1329446912","20406272","19419136","56729600"
"09/16/2021 07:56:08.571","238133006381056","111489024","117972992","254742528","1327431680","20406272","19419136","56729600"
"09/16/2021 07:56:10.562","238133006381056","111489024","117972992","254742528","1327431680","20406272","19419136","56729600"
"09/16/2021 07:56:12.565","238133000613888","111489024","117972992","254742528","1327001600","20406272","19419136","56729600"
"09/16/2021 07:56:14.569","238132997992448","111489024","117972992","254742528","1326784512","20406272","19419136","56729600"
"09/16/2021 07:56:16.574","238132986458112","111489024","117972992","254742528","1325678592","20406272","19419136","56729600"
"09/16/2021 07:56:18.563","238132987506688","111489024","117972992","254742528","1325862912","20406272","19419136","56729600"
"09/16/2021 07:56:20.568","238132987506688","111489024","117972992","254742528","1325887488","20406272","19419136","56729600"
"09/16/2021 07:56:22.573","238132989079552","111489024","117972992","254742528","1326030848","20406272","19419136","56729600"
"09/16/2021 07:56:24.562","238132989079552","111489024","117972992","254742528","1326030848","20406272","19419136","56729600"
"09/16/2021 07:56:26.565","238132989079552","111489024","117972992","254742528","1326030848","20406272","19419136","56729600"
"09/16/2021 07:56:28.570","238132989603840","111489024","117972992","254742528","1326084096","20406272","19419136","56729600"
"09/16/2021 07:56:30.574","238132990128128","111489024","117972992","254742528","1326153728","20406272","19419136","56729600"
"09/16/2021 07:56:32.563","238132990128128","111489024","117972992","254742528","1326153728","20406272","19419136","56729600"
"09/16/2021 07:56:34.568","238132990128128","111489024","117972992","254742528","1326153728","20406272","19419136","56729600"
